Part;Value;Device;Package;Description;AVAILABILITY;DESCRIPTION;MANUFACTURER_PART_NUMBER;MF;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;PRICE;PROD_ID;SF_ID;SPICEPREFIX;VALUE;VENDOR
ADC1;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
ADC2;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
ATMEGA328P;ATMEGA328P_TQFP;ATMEGA328P_TQFP;TQFP32-08;Popular 328P in QFP;;;;;;;;;;;IC-09069;;;ATMEGA328P_TQFP;
BATT_SENS;;PINHD-1X1;1X01;"Pin header 1x1 for 0.1 spacing""";;;;;;;;;;;;;;;
BMP280;BMP280;BMP280;BMP280;The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. The sensor module is housed in an extremely compact 8-pin metal-lid LGA package with a footprint of only 2.0 × 2.5 mm2 and 0.95 mm package height. Its small;;;;;;;;;;;;;;;
C1;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;
C2;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;
C3;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C4;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C5;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C6;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C7;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C8;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C9;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C10;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C11;10pF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C12;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C13;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;
C14;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C15;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C16;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C17;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C18;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C19;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C20;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;
C21;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;
C22;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C23;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C24;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C25;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C26;2.2nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C27;4.7uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;
C28;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C29;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C30;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C31;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C32;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C33;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C34;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C35;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C36;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C37;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
C38;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;C;;
D1;;DIODE-DO214BA;DO214BA;DIODE;;;;;;;;;;;;;;;
DAC;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
FT232RL;FT232RL;FT232RL;SSOP28;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf;;;;;;FT232RL;1146032;91K9918;;;;;;;
GIMBAL_X;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
GIMBAL_Y;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
GIMBAL_Z;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
GPS;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;;;;;;;;;;;
GY87;;PINHD-1X8CLEANBIG;1X08-CLEANBIG;PIN HEADER;;;;;;;;;;;;;;;
ICSP;AVRISP-6;AVRISP-6;AVRISP;AVR ISP HEADER;;;;;;;;;;;;;;;
JP1;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP2;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP3;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP4;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP5;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP6;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP7;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
JP8;;PINHD-1X1;1X01;"Pin header 1x1 for 0.1 spacing""";;;;;;;;;;;;;;;
JTAG;;PINHD-1X6;1X06;PIN HEADER;;;;;;;;;;;;;;;
LED;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
LED1;;LEDSMT1206;1206;LED;;;;;;;;;;;;;;;
LED2;;LEDSMT1206;1206;LED;;;;;;;;;;;;;;;
LED3;;LEDSMT1206;1206;LED;;;;;;;;;;;;;;;
LED4;;LEDSMT1206;1206;LED;;;;;;;;;;;;;;;
LED5;;LEDSMT1206;1206;LED;;;;;;;;;;;;;;;
LED6;;LEDSMT1206;1206;LED;;;;;;;;;;;;;;;
LM3940-3.3;LM3940IMPX-3.3/NOPB;LM3940IMPX-3.3/NOPB;SOT230P696X180-4N;Low Dropout Regulator;Unavailable; 1A Low Dropout egulator for 5V to 3.3V Conversion 4-SOT-223 -40 to 125 ;;Texas Instruments;LM3940IMPX-3.3/NOPB;;;;SOT-223-4 Texas Instruments;None;;;;;
M1;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
M2;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
M3;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
M4;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
MPU6000;MPU6000;MPU6000;QFN50P400X400X95-25T265X275N;The triple-axis MEMS gyroscope;;;;;;;;;;;;;;;
NRF24L01;NRF24L01+;NRF24L01+;NRF24L01+;nRF24L01+ Transceiver Module;;;;;;;;;;;;;;;
OSD;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;;;;;;;;;;;
OSD/USB;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
PPM;;PINHD-1X3;1X03;PIN HEADER;;;;;;;;;;;;;;;
R1;10k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R2;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
R3;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
R4;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
R5;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
R6;10k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R7;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R8;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R9;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R10;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R11;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R12;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R13;10k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
RESET;;SWITCH_PUSHBUTTONC&K_KSS;BTN_CK_KSS;Buttons;;;;;;;;;;;;;;;
SD_CARD;2908-05WB-MG;2908-05WB-MG;3M_2908-05WB-MG;2908-05WB-MG Conn Micro S D Card HDR 8 POS 1.1mm So lder RA SMD T/R 0.5A RoHS;Unavailable; 2908-05WB-MG Conn Micro S D Card HDR 8 POS 1.1mm So lder RA SMD T/R 0.5A RoHS ;;3M;2908-05WB-MG;;;;None;None;;;;;
SONIC1;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;;;;;;;;;;;
SONIC2;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;;;;;;;;;;;
STM32F722;STM32F7X2RXT;STM32F7X2RXT;LQFP64-10X10MM;;;;STM32F7X2RXT;;;;;;;;;;;;STMicroelectronics
TXB0104;TXB0104;TXB0104PWRSOIC14;SO14;4-Bit Bi-Directional Level Shifter;;;;;;;;;;;IC-11329;;;TXB0104;
USB;;USB_MICRO-B_SMT;USB-MICROB;USB Type Micro-B Connector;;;;;;;;;;;CONN-09505;PRT-08533;;;
Y1;8MHz;CRYSTAL-8MHZSMD-5X3.2;CRYSTAL-SMD-5X3.2-4PAD;8MHz Crystal;;;;;;;;;;;XTAL-09431;;;8MHz;
Y2;16MHz;CRYSTAL-16MHZSMD-5X3.2;CRYSTAL-SMD-5X3.2-4PAD;16MHz Crystal;;;;;;;;;;;XTAL-08218;COM-00094;;16MHz;
